Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|1.89167714119|43
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|1.09001898766|53
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|1.77174711227|35
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|0.925643205643|31
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|1.85642695427|46
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|1.88482999802|55
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|0.656848907471|9
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|0.373883962631|17
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|0.656296014786|16
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|0.319680929184|15
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|0.682347774506|15
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|0.653234958649|13
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.870451927185|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.707947015762|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.836866855621|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.799368858337|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.789664030075|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.773882865906|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.911383152008|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.74498796463|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.897881031036|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.699830055237|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.87167096138|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.912904977798|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.784430980682|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.724926948547|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.854789972305|1000
